Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
Benämning                      Num Hplnamn Notering                                                       Numerisk X   Numerisk Y          wgs84_lat         wgs84_long
------------------------------ ----------- ------------------------------------------------------------ ------------ ------------ ------------------ ------------------
1039 Tvärhandsgatan Hpl               1039 Läge A                                                          317234,00   6395828,00      57,6675000000      11,9357000000
1040 Verktumsgatan 18                 1040                                                                 317002,00   6395552,00      57,6650000000      11,9320000000
1042 Högsbo Sjukhus B.9               1042 STANNA BADET                                                    316857,00   6395778,00      57,6669340434      11,9294404416
1044 Lantmilsgatan 2                  1044                                                                 316619,00   6395792,00      57,6669628593      11,9254460773
1045 Skogsmilsgatan 13                1045                                                                 316712,00   6395725,00      57,6663996864      11,9270535654
1046 Lantmilsgatan 28                 1046                                                                 316626,00   6395590,00      57,6651537677      11,9257165641
1051 Kapplandsgatan 112               1051                                                                 317007,00   6396023,00      57,6692000000      11,9318000000
333 Hundraårsgatan 17                  333                                                                 323276,00   6404806,00      57,7504831538      12,0302650236
334 Halvsekelsgatan 12                 334                                                                 323152,00   6404815,00      57,7505150496      12,0281778407
335 Kvartsekelsgatan 13                335                                                                 323200,00   6405031,00      57,7524715998      12,0288242394
336 Kvartsekelsgatan 5                 336                                                                 323087,00   6404916,00      57,7513954438      12,0270129082
337 Solståndsgatan 22                  337                                                                 322950,00   6405189,00      57,7537903714      12,0245127471
338 Gregorianska G.99                  338                                                                 322846,00   6404707,00      57,7494256565      12,0231234065
339 Gregorianska G.77                  339                                                                 322845,00   6404544,00      57,7479631348      12,0232269363
340 Gregorianska G.16                  340                                                                 322865,00   6404358,00      57,7463025293      12,0236996330
342 Fullmånegatan 18                   342                                                                 322917,00   6404256,00      57,7454080719      12,0246472011
343 Julianska gatan 14                 343                                                                 322921,00   6404665,00      57,7490784719      12,0244126658
341 Gregorianska G.35                  341                                                                 322992,00   6404450,00      57,7471778844      12,0257624763
344 Julianska gatan 18                 344                                                                 323018,00   6404685,00      57,7492961737      12,0260254370
345 Vårfrukyrkan                       345 Runstavsgatan 9                                                 323092,00   6404569,00      57,7482847183      12,0273524542
348 Timgatan 9                         348                                                                 323297,00   6404249,00      57,7454949652      12,0310273320
346 Solvarvsgatan 10                   346                                                                 323140,00   6404397,00      57,7467607734      12,0282844470
347 Timgatan 1                         347                                                                 323279,00   6404392,00      57,7467706505      12,0306201087
349 Månadsgatan 6                      349 Fr.Runstavsgatan                                                323370,00   6404259,00      57,7456133668      12,0322446537
350 Månadsgatan 22                     350                                                                 323490,00   6404407,00      57,7469881614      12,0341490561
351 Månadsgatan 39.A                   351                                                                 323535,00   6404552,00      57,7483065550      12,0347974133
353 Nymånegatan 9                      353                                                                 323089,00   6404047,00      57,7436010824      12,0276866586
352 Nymånegatan 25                     352 Vändplats                                                       323069,00   6404198,00      57,7449477183      12,0272399723
354 Kalendervägen 15                   354                                                                 323403,00   6404520,00      57,7479675816      12,0326063199
355 Tusenårsgatan 7                    355                                                                 323390,00   6404796,00      57,7504383211      12,0321851167
356 Veckogatan 8.B                     356                                                                 323467,00   6404718,00      57,7497688776      12,0335345606
357 Kalendervägen 18                   357                                                                 323521,00   6404670,00      57,7493595213      12,0344757684
358 Kalendervägen 32                   358                                                                 323672,00   6405019,00      57,7525495013      12,0367530170
359 Kalendervägen 105.H                359                                                                 323818,00   6405162,00      57,7538895890      12,0390977535
360 Kalendervägen 115.A                360                                                                 323912,00   6405360,00      57,7557026078      12,0405298676
361 Sjusovaregatan 3                   361                                                                 324119,00   6405572,00      57,7576855500      12,0438482408
362 Vårmånadsgatan 14                  362                                                                 323751,00   6405349,00      57,7555407745      12,0378361870
